first_name,last_name,email,phone,scheduledDate,actualDate,status,skills
Timothy,Walton,timothy.walton@example.com,7898451910,09-08-2026,,completed,"Insulation Work,Masonry"
Lucas,Clark,lucas.clark@example.com,6882570838,18-07-2025,,in-progress,"Paving,Landscaping,Welding,Drywall Installation"
Michael,Smith,michael.smith@example.com,8215357758,25-08-2024,24-07-2026,in-progress,Heavy Equipment Operation
John,Meadows,john.meadows@example.com,2738603071,16-10-2025,04-01-2027,new,"Painting,Bricklaying,Project Estimation,Landscaping"
Christopher,Adams,christopher.adams@example.com,9673518481,21-09-2025,,completed,"Steel Fixing,Site Safety Management,Scaffolding,Bricklaying"
Andrea,Bennett,andrea.bennett@example.com,3681888472,10-09-2025,,in-progress,"Drywall Installation,Tiling,HVAC Installation"
Mary,Scott,mary.scott@example.com,4477996512,09-08-2026,04-08-2027,in-progress,"Welding,Plumbing"
Gina,Kelly,gina.kelly@example.com,9828153747,29-03-2025,26-02-2027,completed,"Painting,Steel Fixing"
Jonathon,Johnson,jonathon.johnson@example.com,6417951491,06-06-2026,,completed,"Painting,Heavy Equipment Operation,Plumbing,Electrical Wiring"
Carol,Holland,carol.holland@example.com,8002735156,16-04-2026,,completed,"Paving,Electrical Wiring,Steel Fixing,Glass Installation"
Jacqueline,Levine,jacqueline.levine@example.com,5278128007,13-05-2026,03-10-2026,completed,"Masonry,Bricklaying,Paving,Site Safety Management"
Jennifer,Oconnor,jennifer.oconnor@example.com,1341398436,16-04-2025,,completed,"Flooring Installation,Tiling,Masonry"
Linda,Rubio,linda.rubio@example.com,8542725110,27-01-2025,21-02-2027,in-progress,"Concrete Finishing,Bricklaying,Tiling,Project Estimation"
Leslie,Brown,leslie.brown@example.com,3346659026,13-03-2025,,completed,"Bricklaying,HVAC Installation,Paving,Glass Installation"
Jennifer,Pierce,jennifer.pierce@example.com,7745321369,24-06-2026,19-09-2026,new,Roofing
Kristin,Quinn,kristin.quinn@example.com,2189634354,30-12-2024,17-03-2026,new,"Blueprint Reading,Landscaping,Formwork,Site Safety Management"
Jacob,Carlson,jacob.carlson@example.com,1288259925,29-09-2025,,new,"Surveying,Painting"
